Deklaracja ścieżek;Kontrola deklaracji ścieżek (pliki *.pth i *.pti);exec('pth','%release');;;;;;;;;
Katalog;Plik;Nr linii;Linia;Linia;Typ;Element;Opis;Zapis poprawny;;;
#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@
macro.use;Kontrola poprawnosci pliku macro.use;exec('macro','%release');;;;;;;;;
Nr linii;Linia;Linia;Tabela;Pole;Opis;Zapis poprawny;;;;;
#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@
Odwołania tabel wspólnych;Kontrola odwołań tabel wspólnych do tabel firmowych;exec('wf','%release');;;;;;;;;
Tabela;Nazwa;Katalog;Wspólna;Pole;Typ;Nazwa;Katalog;Wspólna;Opis;Zapis poprawny;
#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@
Pliki warstwy .m;Lista plików warstwy .m;exec('mfiles','%release');;;;;;;;;
Katalog;Plik;;;;;;;;;;
#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@
Końce linii;Kontrola końców linii;exec('eol','%release');;;;;;;;;
Katalog;Plik;Rozmiar;Liczba linii;Liczba błędów;Opis;Zapis poprawny;;;;;
#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@;#@#@#@
DEF: Formuły;Kontrola wywołań formuł z definicji;exec('def_f','%release');;;;;;;;;
Nazwa formuły;Nazwa procedury;Nazwa pliku;Typ błędu;Opis;Zapis poprawny;;;;;;
 NOEDITD;noeditd;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
 TAKNIES;taknies;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
!GIODOED;giodoed;skid_gio;F;Nie odnaleziono pliku skid_gio.fml;N;;;;;;
#   KWYR;kwyr;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
#  KZP WYD;wyd_lck;kzp;F;Nie odnaleziono pliku kzp.fml;N;;;;;;
#  PRZ A;__PRZ_A2;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
#MIASTO;MIASTO;ext_slo;P;W pliku ext_slo.fml nie odnaleziono procedury \MIASTO.;N;;;;;;
#NOTKA;NOTKA;ext_slo;P;W pliku ext_slo.fml nie odnaleziono procedury \NOTKA.;N;;;;;;
#OD_KB;dopisz;skid_ror;F;Nie odnaleziono pliku skid_ror.fml;N;;;;;;
#PRZ ODD;PRZ_ODD;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
