Id dokumentu (klucz obcy);KON - Konto;STR - Strona;WAL_KOD - Waluta;OD - Jedn. Ksiêgowa;ID - Identyfikator;TID - Typ rozrachunku;WSK_PRAT - Raty;SYM_ZEW - Sym. Zew.;SLO_PROJ_KOD - Projekt;DO - Data otwarcia;TP - termin p³atnoœci;SP_WYM - Split payment;SUMW - Kwota w walucie;KURS;SUM - Kwota;SP_V - Split payment VAT;OP - Treœæ
1;404-02;Ma;;;;;;;;;;;;;1500;;
1;404-10;Wn;;;;;;;;;;;;;1500;;
2;404-02;Ma;;;;;;;;;;;;;1500;;
2;404-10;Wn;;;;;;;;;;;;;1500;;
11;404-02;Ma;;;;;;;;;;;;;1500;;
11;404-10;Wn;;;;;;;;;;;;;1500;;
12;404-02;Ma;;;;;;;;;;;;;1500;;
12;404-10;Wn;;;;;;;;;;;;;1500;;
13;404-02;Ma;;;;;;;;;;;;;1500;;
13;404-10;Wn;;;;;;;;;;;;;1500;;
14;404-02;Ma;;;;;;;;;;;;;1500;;
14;404-10;Wn;;;;;;;;;;;;;1500;;
15;404-02;Ma;;;;;;;;;;;;;1500;;
15;404-10;Wn;;;;;;;;;;;;;1500;;
16;404-02;Ma;;;;;;;;;;;;;1500;;
16;404-10;Wn;;;;;;;;;;;;;1500;;
17;404-02;Ma;;;;;;;;;;;;;1500;;
17;404-10;Wn;;;;;;;;;;;;;1500;;
18;404-02;Ma;;;;;;;;;;;;;1500;;
18;404-10;Wn;;;;;;;;;;;;;1500;;
